Server,Data,Hora,Período,tipo_conexão,ping,download,upload
Amazonet,14/10/2019,08:55,manhã,multi,9,256.74,21.17
Amazonet,14/10/2019,08:57,manhã,multi,7,253.45,21.10
Amazonet,14/10/2019,08:58,manhã,multi,8,247.45,21.16
Amazonet,14/10/2019,09:03,manhã,multi,9,247.30,21.18
Amazonet,14/10/2019,09:05,manhã,multi,9,243.46,21.05
Amazonet,14/10/2019,09:07,manhã,multi,8,246.51,21.13
Amazonet,14/10/2019,16:27,tarde,multi,9,241.58,20.87
Amazonet,14/10/2019,16:29,tarde,multi,10,244.30,20.85
Amazonet,14/10/2019,16:30,tarde,multi,9,237.49,19.73
Amazonet,14/10/2019,16:33,tarde,multi,9,233.31,21.06
Amazonet,14/10/2019,16:34,tarde,multi,8,238.18,20.92
Amazonet,14/10/2019,16:35,tarde,multi,8,229.39,20.88
Amazonet,14/10/2019,16:37,tarde,multi,9,234.73,21.09
Amazonet,14/10/2019,19:28,noite,multi,8,245.68,21.02
Amazonet,14/10/2019,19:29,noite,multi,8,237.56,20.79
Amazonet,14/10/2019,19:30,noite,multi,10,232.44,20.79
Amazonet,14/10/2019,19:31,noite,multi,9,244.10,21.00
Amazonet,14/10/2019,19:32,noite,multi,8,246.50,21.02
Amazonet,14/10/2019,19:34,noite,multi,9,240.17,20.98
Amazonet,14/10/2019,19:35,noite,multi,8,238.08,20.83
Amazonet,15/10/2019,07:30,manhã,multi,8,253.75,21.16
Amazonet,15/10/2019,07:31,manhã,multi,7,251.50,21.13
Amazonet,15/10/2019,07:33,manhã,multi,8,257.99,21.12
Amazonet,15/10/2019,07:35,manhã,multi,8,240.95,21.19
Amazonet,15/10/2019,07:37,manhã,multi,8,261.46,21.18
Amazonet,15/10/2019,07:40,manhã,multi,8,251.85,21.17
Amazonet,15/10/2019,07:41,manhã,multi,8,259.36,21.13
Amazonet,15/10/2019,13:24,tarde,multi,8,90.86,21.10
Amazonet,15/10/2019,13:26,tarde,multi,8,94.95,21.14
Amazonet,15/10/2019,13:28,tarde,multi,8,95.78,21.17
Amazonet,15/10/2019,13:30,tarde,multi,9,92.64,21.02
Amazonet,15/10/2019,13:34,tarde,multi,9,94.83,21.18
Amazonet,15/10/2019,13:36,tarde,multi,9,94.46,21.16
Amazonet,15/10/2019,13:37,tarde,multi,8,94.71,20.99
Amazonet,15/10/2019,18:43,noite,multi,13,95.00,20.97
Amazonet,15/10/2019,18:49,noite,multi,10,94.72,20.89
Amazonet,15/10/2019,18:50,noite,multi,8,94.87,20.96
Amazonet,15/10/2019,18:51,noite,multi,9,94.88,20.95
Amazonet,15/10/2019,18:56,noite,multi,7,94.50,20.97
Amazonet,15/10/2019,18:59,noite,multi,8,94.47,21.12
Amazonet,15/10/2019,19:00,noite,multi,8,94.79,20.97
Amazonet,16/10/2019,15:21,tarde,multi,8,237.95,20.83
Amazonet,16/10/2019,15:22,tarde,multi,8,228.63,20.70
Amazonet,16/10/2019,15:23,tarde,multi,8,240.91,20.85
Amazonet,16/10/2019,15:25,tarde,multi,8,237.35,20.64
Amazonet,16/10/2019,15:26,tarde,multi,8,229.46,20.65
Amazonet,16/10/2019,15:28,tarde,multi,9,238.72,20.84
Amazonet,16/10/2019,15:29,tarde,multi,9,231.89,20.67
Amazonet,16/10/2019,18:45,noite,multi,6,245.57,20.87
Amazonet,16/10/2019,18:46,noite,multi,8,244.64,20.61
Amazonet,16/10/2019,18:47,noite,multi,8,231.83,20.75
Amazonet,16/10/2019,18:48,noite,multi,8,234.08,20.72
Amazonet,16/10/2019,19:50,noite,multi,9,239.49,20.80
Amazonet,16/10/2019,19:51,noite,multi,9,236.59,20.68
Amazonet,16/10/2019,19:52,noite,multi,9,237.87,20.80
Amazonet,17/10/2019,10:55,manhã,multi,8,246.33,20.76
Amazonet,17/10/2019,10:56,manhã,multi,10,238.45,20.83
Amazonet,17/10/2019,10:57,manhã,multi,8,250.08,20.92
Amazonet,17/10/2019,10:58,manhã,multi,7,249.37,21.02
Amazonet,17/10/2019,10:59,manhã,multi,9,248.77,21.01
Amazonet,17/10/2019,11:01,manhã,multi,7,245.93,21.19
Amazonet,17/10/2019,11:02,manhã,multi,8,256.66,20.95
Amazonet,17/10/2019,13:07,tarde,multi,9,93.88,20.89
Amazonet,17/10/2019,13:09,tarde,multi,8,94.04,20.98
Amazonet,17/10/2019,13:10,tarde,multi,9,94.07,20.96
Amazonet,17/10/2019,13:11,tarde,multi,7,94.16,21.08
Amazonet,17/10/2019,13:12,tarde,multi,9,94.46,20.96
Amazonet,17/10/2019,13:13,tarde,multi,7,92.75,20.89
