Server,Data,Hora,Período,tipo_conexão,ping,download,upload
Amazonet,14/10/2019,09:38,manhã,multi,8,51.76,21.07
Amazonet,14/10/2019,09:42,manhã,multi,9,51.05,21.18
Amazonet,14/10/2019,09:48,manhã,multi,8,54.41,21.17
Amazonet,14/10/2019,09:49,manhã,multi,10,54.89,21.18
Amazonet,14/10/2019,09:52,manhã,multi,9,52.24,21.14
Amazonet,14/10/2019,09:53,manhã,multi,8,54.00,21.16
Amazonet,14/10/2019,16:18,tarde,multi,10,45.54,16.91
Amazonet,14/10/2019,16:19,tarde,multi,9,42.20,20.62
Amazonet,14/10/2019,16:20,tarde,multi,10,39.24,20.48
Amazonet,14/10/2019,16:21,tarde,multi,10,40.19,19.85
Amazonet,14/10/2019,16:22,tarde,multi,10,47.67,21.10
Amazonet,14/10/2019,16:24,tarde,multi,11,45.41,21.05
Amazonet,14/10/2019,16:26,tarde,multi,12,43.85,20.97
Amazonet,14/10/2019,19:37,noite,multi,9,35.37,19.28
Amazonet,14/10/2019,19:38,noite,multi,12,24.22,18.38
Amazonet,14/10/2019,19:39,noite,multi,9,31.38,21.64
Amazonet,14/10/2019,19:40,noite,multi,9,32.65,16.37
Amazonet,14/10/2019,19:41,noite,multi,10,26.19,16.03
Amazonet,14/10/2019,19:42,noite,multi,14,33.84,19.32
Amazonet,14/10/2019,19:43,noite,multi,11,29.25,9.91
Amazonet,15/10/2019,07:44,manhã,multi,8,54.13,21.19
Amazonet,15/10/2019,07:53,manhã,multi,9,56.01,21.18
Amazonet,15/10/2019,07:54,manhã,multi,8,54.48,21.17
Amazonet,15/10/2019,07:55,manhã,multi,8,55.57,21.11
Amazonet,15/10/2019,07:56,manhã,multi,9,55.59,21.18
Amazonet,15/10/2019,07:57,manhã,multi,8,57.27,21.16
Amazonet,15/10/2019,07:58,manhã,multi,9,56.95,21.14
Amazonet,15/10/2019,13:12,tarde,multi,16,51.82,21.23
Amazonet,15/10/2019,13:14,tarde,multi,8,50.62,21.18
Amazonet,15/10/2019,13:15,tarde,multi,8,49.41,21.10
Amazonet,15/10/2019,13:16,tarde,multi,9,48.92,21.10
Amazonet,15/10/2019,13:19,tarde,multi,8,48.71,21.12
Amazonet,15/10/2019,13:21,tarde,multi,9,47.64,21.14
Amazonet,15/10/2019,13:22,tarde,multi,9,48.20,20.81
Amazonet,15/10/2019,19:01,noite,multi,10,28.66,17.21
Amazonet,15/10/2019,19:03,noite,multi,11,29.47,20.25
Amazonet,15/10/2019,19:06,noite,multi,8,25.97,13.72
Amazonet,15/10/2019,19:07,noite,multi,8,37.53,19.85
Amazonet,15/10/2019,19:11,noite,multi,8,39.98,21.14
Amazonet,15/10/2019,19.14,noite,multi,11,38.14,17.45
Amazonet,15/10/2019,19:15,noite,multi,12,23.52,11.93
Amazonet,16/10/2019,15:30,tarde,multi,8,44.34,20.88
Amazonet,16/10/2019,15:32,tarde,multi,10,43.09,20.89
Amazonet,16/10/2019,15:33,tarde,multi,11,34.64,10.88
Amazonet,16/10/2019,15:35,tarde,multi,10,33.62,19.35
Amazonet,16/10/2019,15:36,tarde,multi,9,31.64,17.73
Amazonet,16/10/2019,15:37,tarde,multi,9,36.55,19.38
Amazonet,16/10/2019,15:38,tarde,multi,9,34.13,19.98
Amazonet,16/10/2019,18:53,noite,multi,8,33.19,16.78
Amazonet,16/10/2019,18:55,noite,multi,11,30.22,15.81
Amazonet,16/10/2019,18:56,noite,multi,8,29.47,17.77
Amazonet,16/10/2019,18:58,noite,multi,12,37.45,18.18
Amazonet,16/10/2019,18:59,noite,multi,15,38.86,19.00
Amazonet,16/10/2019,19:00,noite,multi,12,28.05,14.62
Amazonet,16/10/2019,19:02,noite,multi,9,27.92,13.27
